ID,Name,Role,github_user,status,total_commits,total_repos,followers,total_stars,burst_concentration_ratio,commit_coefficient_variation,generic_message_ratio,pr_rejection_rate,flags,technical_skill_score,collaboration_consistency_score,fraud_risk_level,fraud_index,ml_anomaly_score
daniri347,Daniel Rios,Blockchain Developer,danielrios,OK,84,30,14,0,0.345,4.656,0.0,0.111,,0.839,0.587,Low,0.205,0.682
shawgr202,Shawn Gray,System Administrator,sgray,OK,7,1,14,1,0.571,5.014,0.143,0.0,,0.515,0.122,Low,0.195,0.65
jeffke612,Jeffrey Kennedy,Cloud Engineer,jeffreykennedy,OK,0,1,0,0,0.0,0.0,0.0,0.0,,0.432,0.1,Low,0.224,0.747
joshro860,Joshua Robinson,UI Engineer,joshuarobinson,OK,139,30,32,213,0.324,2.351,0.05,0.0,,0.709,0.49,Low,0.231,0.772
ericpr472,Eric Pruitt,Software Engineer,ericpruitt,OK,1422,34,71,350,0.387,2.198,0.05,0.0,,0.742,0.49,Low,0.184,0.614
joshne882,Joshua Nelson,Full Stack Developer,joshua-nelson,OK,39,18,0,0,0.359,6.923,0.1,0.1,,0.884,0.55,Low,0.202,0.672
ryanco217,Ryan Cooper,Database Administrator,ryancooper,OK,0,11,5,4,0.0,0.0,0.0,0.0,,0.632,0.296,Low,0.189,0.631
rachhu358,Rachel Hutchinson,Cloud Engineer,rachelhutchinson,OK,47,3,0,0,0.319,0.655,0.0,0.0,,0.571,0.14,Low,0.243,0.808
patrha430,Patrick Hayes,System Administrator,phayes,OK,843,100,160,1690,0.591,7.606,0.0,0.0,Burst commit pattern detected: 59% of 843 commits were made in just the busiest 7 week(s) out of 67 active weeks.,0.813,0.49,Low,0.238,0.763
jasomo683,Jason Morgan,Blockchain Developer,jasonmorgan,OK,403,94,175,58,0.385,4.747,0.05,0.143,,0.885,0.638,Low,0.178,0.593
amanad123,Amanda Adams,AR/VR Developer,amandaadams,OK,8,6,1,0,0.375,7.319,0.333,0.0,,0.562,0.194,Low,0.16,0.534
elizmc837,Elizabeth Mccullough,Machine Learning Engineer,emccullough,OK,3,2,1,0,0.333,3.742,0.25,0.0,Suspicious bulk commit activity: avg size 2147 lines/commit with only 0.07 commits/week sustained over the observed history.,0.492,0.13,Medium,0.324,0.779
danpe591,Dan Peterson,Game Developer,danpeterson,OK,0,8,6,0,0.0,0.0,0.0,0.0,,0.482,0.19,Low,0.224,0.747
michwe449,Michael Weber,Data Scientist,michaelweber,OK,42,9,127,628,0.31,6.764,0.0,0.667,High PR rejection rate: only 33% approval across 6 pull requests.,0.476,0.29,Low,0.287,0.808
amanpo781,Amanda Powell,UI Engineer,amandapowell,OK,12,7,0,0,0.333,1.732,0.25,0.0,,0.517,0.18,Low,0.203,0.676
aaroch731,Aaron Chen,Data Architect,aaronchen,OK,414,9,0,8,0.495,4.663,0.0,0.0,,0.737,0.306,Low,0.261,0.869
YasithAbeyratne134,Yasith Abeyratne,Mobile App Developer,dalewyatt,"FETCH_FAILED: Client error '404 Not Found' for url 'https://api.github.com/users/dalewyatt/repos?type=public&per_page=100&sort=updated'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404",,,,,,,,,,,,,,
jamemo630,James Moore,Software Engineer,jamesmoore,OK,12,12,5,26,0.417,5.268,0.0,0.037,,0.851,0.553,Low,0.207,0.691
johnma114,John Martin,Data Scientist,johnmartin,OK,19,18,38,12,0.211,4.819,0.053,0.0,,0.716,0.404,Low,0.162,0.541
nicobr601,Nicole Bradshaw,Mobile App Developer,nicolebradshaw,OK,5,2,0,0,0.0,0.0,0.6,0.0,,0.556,0.13,Low,0.231,0.769
